model,split_seed,layer,n_images,n_success,n_failed,success_prevalence,baseline_oof_auroc,baseline_oof_auprc,plus_transport_oof_auroc,plus_transport_oof_auprc,delta_transport_auprc,delta_transport_bootstrap_ci_low,delta_transport_bootstrap_ci_high,matched_n,matched_success,matched_failed,matched_transport_auroc
bbb_densenet,1001,denseblock3,400,306,94,0.765,0.9362049784452788,0.9801841598581372,0.9525100820470032,0.9848675655260346,0.0046834056678974,-0.0013858043086035,0.0108377542387585,156,78,78,0.8555226824457594
bbb_densenet,1002,denseblock3,400,308,92,0.77,0.9393351214003388,0.9826894206860028,0.9579686617730097,0.987768740771006,0.0050793200850032,0.0001241344575896,0.0110558510376063,162,81,81,0.824112178021643
bbb_densenet,1003,denseblock3,400,303,97,0.7575,0.9416147800347046,0.9813006526937096,0.9650573304753156,0.9886865526130462,0.0073858999193364,0.0021728534709395,0.0133945544948756,156,78,78,0.8553583168967784
bbb_inception_v3,1001,mixed6,400,213,187,0.5325,0.9269413271070274,0.9517378203442092,0.9543320529236022,0.9632284119584152,0.011490591614206,-0.0004753142171446,0.0246505448282875,236,118,118,0.8187302499281816
bbb_inception_v3,1002,mixed7,400,217,183,0.5425,0.9237742690942056,0.9455460383487486,0.9410238976605978,0.957445428530324,0.0118993901815753,0.0005323902886588,0.0245796556743823,232,116,116,0.8006837098692033
bbb_inception_v3,1003,mixed6,400,226,174,0.565,0.904943545926152,0.940640071090594,0.9407486522225612,0.95707374489613,0.016433673805536,0.0027348349651314,0.0315372034284305,250,125,125,0.818752
bbb_resnet50,1001,avgpool,400,279,121,0.6975,0.9460884504872774,0.9779937470094716,0.9591516336384373,0.9824697080888976,0.0044759610794261,-0.0003382854220612,0.0101353193872647,196,98,98,0.8584964598084132
bbb_resnet50,1002,avgpool,400,296,104,0.74,0.9375974532224532,0.9797160184972008,0.9530925155925156,0.9836396204836144,0.0039236019864136,-0.0006934029452353,0.0086867064194074,188,94,94,0.8767541874151199
bbb_resnet50,1003,avgpool,400,282,118,0.705,0.9516768842408944,0.9807866289468832,0.9632467844692872,0.9840712478677084,0.0032846189208249,-0.0012405699839282,0.0077277586028885,208,104,104,0.9060650887573964
bbb_vgg19_bn,1001,block5,400,252,148,0.63,0.9268822393822392,0.96126893603329,0.9412537537537538,0.9678064373565536,0.0065375013232635,-0.000159680246133,0.0140169545197984,216,108,108,0.6686385459533607
bbb_vgg19_bn,1002,block5,400,236,164,0.59,0.929955560148822,0.9604334748199324,0.9422798677139314,0.9663287801263652,0.0058953053064327,-0.0015170603861759,0.0139927614881728,242,121,121,0.7103339935796735
bbb_vgg19_bn,1003,block5,400,238,162,0.595,0.936871044714182,0.9638087363105734,0.9479717813051146,0.9695741978949028,0.0057654615843294,-0.0016948089855097,0.0134987523924697,240,120,120,0.7153472222222222
