train_seed,split_seed,architecture,transform,sigma,auroc_k20,dim80,dim90,effective_rank,max_compensated_logit_error,logit_equivalence_verified
20260713,1307,resnet18,identity,0.0,0.8639455782312925,27,37,48.341920874079264,0.0,True
20260713,1307,resnet18,function_preserving_diag_sigma_0.5,0.5,0.8561919391412478,25,35,44.769903434551146,9.5367431640625e-07,True
20260713,1307,resnet18,function_preserving_diag_sigma_1.0,1.0,0.8626654963060493,20,29,30.128286890503105,1.430511474609375e-06,True
20260713,1307,resnet18,function_preserving_diag_sigma_2.0,2.0,0.6582181259600615,6,10,10.190084870863643,9.5367431640625e-07,True
20260713,1307,convnext_tiny,identity,0.0,0.7143101326405032,25,34,42.04672186715488,0.0,True
20260713,1307,convnext_tiny,function_preserving_diag_sigma_0.5,0.5,0.7738274306030357,24,33,39.80125868295053,9.5367431640625e-07,True
20260713,1307,convnext_tiny,function_preserving_diag_sigma_1.0,1.0,0.8308491727061398,20,28,31.293782631628105,9.5367431640625e-07,True
20260713,1307,convnext_tiny,function_preserving_diag_sigma_2.0,2.0,0.6488445234513879,6,11,10.380463100172898,9.5367431640625e-07,True
20260714,1308,resnet18,identity,0.0,0.8831532886640229,26,35,44.65535595521212,0.0,True
20260714,1308,resnet18,function_preserving_diag_sigma_0.5,0.5,0.8860590728839054,24,33,41.4562526007043,9.5367431640625e-07,True
20260714,1308,resnet18,function_preserving_diag_sigma_1.0,1.0,0.6841925338438397,9,18,7.486791945657533,9.5367431640625e-07,True
20260714,1308,resnet18,function_preserving_diag_sigma_2.0,2.0,0.7869718309859156,10,16,17.080749146381237,1.430511474609375e-06,True
20260714,1308,convnext_tiny,identity,0.0,0.7666233766233767,25,34,41.45942272936564,0.0,True
20260714,1308,convnext_tiny,function_preserving_diag_sigma_0.5,0.5,0.7811363636363636,24,33,39.467147455565375,9.5367431640625e-07,True
20260714,1308,convnext_tiny,function_preserving_diag_sigma_1.0,1.0,0.8375324675324676,19,28,29.954963862550283,9.5367431640625e-07,True
20260714,1308,convnext_tiny,function_preserving_diag_sigma_2.0,2.0,0.7396753246753248,7,11,9.114995449846992,9.5367431640625e-07,True
20260715,1309,resnet18,identity,0.0,0.8679521129868698,24,35,43.17403201917904,0.0,True
20260715,1309,resnet18,function_preserving_diag_sigma_0.5,0.5,0.863566148074589,23,33,40.545123957811455,9.5367431640625e-07,True
20260715,1309,resnet18,function_preserving_diag_sigma_1.0,1.0,0.8078726690941189,15,24,22.81440611694013,9.5367431640625e-07,True
20260715,1309,resnet18,function_preserving_diag_sigma_2.0,2.0,0.805196954650778,6,11,9.771620073017145,9.5367431640625e-07,True
20260715,1309,convnext_tiny,identity,0.0,0.5718954248366013,24,33,37.96072855507809,0.0,True
20260715,1309,convnext_tiny,function_preserving_diag_sigma_0.5,0.5,0.5968211527035057,23,31,35.5943813178696,9.5367431640625e-07,True
20260715,1309,convnext_tiny,function_preserving_diag_sigma_1.0,1.0,0.5828579916815211,18,26,26.1587861617413,9.5367431640625e-07,True
20260715,1309,convnext_tiny,function_preserving_diag_sigma_2.0,2.0,0.5061942959001782,2,2,2.683454647960145,9.5367431640625e-07,True
