model,split_seed,candidate_seed,layer_rule,layer,n_images,point_delta_transport_oof_auprc,bootstrap_delta_mean,bootstrap_ci_low,bootstrap_ci_high,n_boot_valid,uncertainty_scope
bbb_densenet,1001,0,nested_selected_nonlogit,denseblock3,400,0.0001588054864261057,0.00017709766122309123,-0.0004939234692701688,0.0007136555156266766,300,conditional_on_fitted_oof_models_and_selected_layer
bbb_densenet,1002,0,nested_selected_nonlogit,denseblock3,400,0.0008015042041888965,0.0007525305991646191,-0.00013242643444179858,0.001638535961073925,300,conditional_on_fitted_oof_models_and_selected_layer
bbb_densenet,1003,0,nested_selected_nonlogit,denseblock3,400,0.0006704330463604968,0.00062969773146573,-0.0002280216638894883,0.001457152980766102,300,conditional_on_fitted_oof_models_and_selected_layer
bbb_inception_v3,1001,0,nested_selected_nonlogit,mixed6,400,0.0011377296661666536,0.0010475400021076498,-0.0003792602514232246,0.0025505305361930566,300,conditional_on_fitted_oof_models_and_selected_layer
bbb_inception_v3,1002,0,nested_selected_nonlogit,mixed7,400,0.0031875028806060968,0.0031608196858372317,0.001567007115611785,0.005031696176751709,300,conditional_on_fitted_oof_models_and_selected_layer
bbb_inception_v3,1003,0,nested_selected_nonlogit,mixed6,400,0.0006712883073587417,0.0006870838184080619,-5.516106441114942e-05,0.0013561168471638767,300,conditional_on_fitted_oof_models_and_selected_layer
bbb_resnet50,1001,0,nested_selected_nonlogit,avgpool,400,0.0091414449054118,0.008972965439635777,0.005434202833454286,0.012607278897001308,300,conditional_on_fitted_oof_models_and_selected_layer
bbb_resnet50,1002,0,nested_selected_nonlogit,avgpool,400,0.011042110277600603,0.01083357455971838,0.006775464268637133,0.015001039804690978,300,conditional_on_fitted_oof_models_and_selected_layer
bbb_resnet50,1003,0,nested_selected_nonlogit,avgpool,400,0.008225164564564236,0.008333854228429511,0.0044443476702383435,0.012345983766447906,300,conditional_on_fitted_oof_models_and_selected_layer
bbb_vgg19_bn,1001,0,nested_selected_nonlogit,block5,400,0.0020869510338290542,0.002111786424173463,0.0006155204961098531,0.0037955674739836155,300,conditional_on_fitted_oof_models_and_selected_layer
bbb_vgg19_bn,1002,0,nested_selected_nonlogit,block5,400,0.0009194960245704209,0.0008881634514611117,-0.00035767564224327143,0.0021922632118588164,300,conditional_on_fitted_oof_models_and_selected_layer
bbb_vgg19_bn,1003,0,nested_selected_nonlogit,block5,400,0.0019255992121796073,0.001900719793005053,0.00028247942697366696,0.0039838663587944256,300,conditional_on_fitted_oof_models_and_selected_layer
