model,top_k,n_runs,mean_coverage,min_coverage,max_coverage
bbb_densenet,1,15,0.828,0.8025,0.8625
bbb_densenet,5,15,0.9206666666666667,0.9075,0.935
bbb_densenet,10,15,0.9261666666666667,0.915,0.9375
bbb_densenet,20,15,0.932,0.92,0.945
bbb_inception_v3,1,15,0.8271666666666667,0.8025,0.8475
bbb_inception_v3,5,15,0.9158333333333334,0.8925,0.935
bbb_inception_v3,10,15,0.9211666666666667,0.9,0.9375
bbb_inception_v3,20,15,0.9243333333333333,0.9,0.94
bbb_resnet50,1,15,0.843,0.8375,0.85
bbb_resnet50,5,15,0.9106666666666666,0.9025,0.9175
bbb_resnet50,10,15,0.9166666666666666,0.9075,0.925
bbb_resnet50,20,15,0.9203333333333333,0.9075,0.935
bbb_vgg19_bn,1,15,0.8421666666666667,0.8175,0.8675
bbb_vgg19_bn,5,15,0.9211666666666667,0.91,0.935
bbb_vgg19_bn,10,15,0.9298333333333333,0.9175,0.94
bbb_vgg19_bn,20,15,0.9299999999999999,0.9175,0.94
