$\epsilon$,Model / attack,Bin,ASR,med. cos.,mean cos.,med. residual,med. $\Delta M_y$
1/255,ResNet50 / PGD,0-20\%,0.430,0.730,0.482,2.223,0.670
1/255,ResNet50 / PGD,20-40\%,0.430,0.302,0.183,5.336,0.017
1/255,ResNet50 / PGD,40-60\%,0.430,0.239,0.154,5.838,-0.024
1/255,ResNet50 / PGD,60-80\%,0.430,0.255,0.164,5.853,-0.002
1/255,ResNet50 / PGD,80-100\%,0.430,0.247,0.169,6.004,0.002
1/255,ResNet50 / APGD-style CE,0-20\%,0.650,0.544,0.369,3.399,0.188
1/255,ResNet50 / APGD-style CE,20-40\%,0.650,0.532,0.418,2.702,0.030
1/255,ResNet50 / APGD-style CE,40-60\%,0.650,0.589,0.512,1.907,0.010
1/255,ResNet50 / APGD-style CE,60-80\%,0.650,0.655,0.584,1.380,0.004
1/255,ResNet50 / APGD-style CE,80-100\%,0.650,0.710,0.646,1.096,0.002
1/255,ResNet50 / APGD-style DLR,0-20\%,0.630,0.655,0.484,1.995,0.070
1/255,ResNet50 / APGD-style DLR,20-40\%,0.630,0.623,0.478,2.016,0.000
1/255,ResNet50 / APGD-style DLR,40-60\%,0.630,0.696,0.586,1.355,0.000
1/255,ResNet50 / APGD-style DLR,60-80\%,0.630,0.737,0.640,1.112,0.000
1/255,ResNet50 / APGD-style DLR,80-100\%,0.630,0.782,0.696,0.857,0.000
1/255,VGG19-BN / PGD,0-20\%,0.410,0.789,0.548,1.956,0.374
1/255,VGG19-BN / PGD,20-40\%,0.410,0.320,0.168,7.041,0.004
1/255,VGG19-BN / PGD,40-60\%,0.410,0.267,0.125,8.201,-0.007
1/255,VGG19-BN / PGD,60-80\%,0.410,0.292,0.141,8.302,0.001
1/255,VGG19-BN / PGD,80-100\%,0.410,0.266,0.149,8.220,0.000
1/255,VGG19-BN / APGD-style CE,0-20\%,0.530,0.632,0.389,4.153,0.095
1/255,VGG19-BN / APGD-style CE,20-40\%,0.530,0.513,0.336,4.308,0.011
1/255,VGG19-BN / APGD-style CE,40-60\%,0.530,0.506,0.356,4.225,0.005
1/255,VGG19-BN / APGD-style CE,60-80\%,0.530,0.531,0.387,3.560,0.002
1/255,VGG19-BN / APGD-style CE,80-100\%,0.530,0.486,0.369,3.186,0.001
1/255,VGG19-BN / APGD-style DLR,0-20\%,0.490,0.754,0.495,2.043,0.023
1/255,VGG19-BN / APGD-style DLR,20-40\%,0.490,0.746,0.462,2.987,0.000
1/255,VGG19-BN / APGD-style DLR,40-60\%,0.490,0.663,0.460,2.832,0.000
1/255,VGG19-BN / APGD-style DLR,60-80\%,0.490,0.652,0.479,2.844,0.000
1/255,VGG19-BN / APGD-style DLR,80-100\%,0.490,0.647,0.475,2.289,0.000
2/255,ResNet50 / PGD,0-20\%,0.895,0.870,0.789,1.226,2.456
2/255,ResNet50 / PGD,20-40\%,0.895,0.550,0.416,3.210,0.162
2/255,ResNet50 / PGD,40-60\%,0.895,0.470,0.344,3.329,0.030
2/255,ResNet50 / PGD,60-80\%,0.895,0.458,0.331,3.345,0.028
2/255,ResNet50 / PGD,80-100\%,0.895,0.465,0.331,3.391,0.014
2/255,ResNet50 / APGD-style CE,0-20\%,0.955,0.699,0.555,2.211,0.616
2/255,ResNet50 / APGD-style CE,20-40\%,0.955,0.655,0.528,1.797,0.067
2/255,ResNet50 / APGD-style CE,40-60\%,0.955,0.769,0.635,1.096,0.022
2/255,ResNet50 / APGD-style CE,60-80\%,0.955,0.833,0.716,0.826,0.011
2/255,ResNet50 / APGD-style CE,80-100\%,0.955,0.884,0.758,0.622,0.007
2/255,ResNet50 / APGD-style DLR,0-20\%,0.940,0.821,0.682,1.276,0.000
2/255,ResNet50 / APGD-style DLR,20-40\%,0.940,0.692,0.521,1.932,0.000
2/255,ResNet50 / APGD-style DLR,40-60\%,0.940,0.829,0.627,1.287,0.000
2/255,ResNet50 / APGD-style DLR,60-80\%,0.940,0.838,0.638,1.082,0.000
2/255,ResNet50 / APGD-style DLR,80-100\%,0.940,0.869,0.698,0.727,0.000
2/255,VGG19-BN / PGD,0-20\%,0.865,0.908,0.840,1.111,1.564
2/255,VGG19-BN / PGD,20-40\%,0.865,0.661,0.486,3.356,0.095
2/255,VGG19-BN / PGD,40-60\%,0.865,0.547,0.374,3.788,0.014
2/255,VGG19-BN / PGD,60-80\%,0.865,0.535,0.362,3.919,0.020
2/255,VGG19-BN / PGD,80-100\%,0.865,0.508,0.338,3.879,0.000
2/255,VGG19-BN / APGD-style CE,0-20\%,0.905,0.792,0.615,2.015,0.350
2/255,VGG19-BN / APGD-style CE,20-40\%,0.905,0.680,0.486,2.296,0.023
2/255,VGG19-BN / APGD-style CE,40-60\%,0.905,0.762,0.569,1.476,0.012
2/255,VGG19-BN / APGD-style CE,60-80\%,0.905,0.751,0.577,1.373,0.004
2/255,VGG19-BN / APGD-style CE,80-100\%,0.905,0.782,0.606,1.256,0.003
2/255,VGG19-BN / APGD-style DLR,0-20\%,0.830,0.859,0.703,1.268,0.014
2/255,VGG19-BN / APGD-style DLR,20-40\%,0.830,0.795,0.491,2.308,0.000
2/255,VGG19-BN / APGD-style DLR,40-60\%,0.830,0.847,0.556,1.478,0.000
2/255,VGG19-BN / APGD-style DLR,60-80\%,0.830,0.832,0.600,1.382,0.000
2/255,VGG19-BN / APGD-style DLR,80-100\%,0.830,0.831,0.591,1.548,0.000
