Model,Budget / method,ASR,$\Delta$ASR [95\% CI],Median margin,Mobility,JVP gain,Pullback ratio
ResNet50,$1/255$ baseline,46.0,--,0.936,6.013,2.807,0.3615
ResNet50,$1/255$ random avoid,44.0,"$-2.0$ [$-4.5$,0.0]",1.244,5.821,2.793,0.3662
ResNet50,$1/255$ transport avoid,\textbf{9.5},"$-36.5$ [$-43.5$,$-30.0$]",8.307,1.531,0.633,0.0010
ResNet50,$1/255$ JVP penalty ($\lambda=10$),42.5,"$-3.5$ [$-7.0$,$-0.5$]",1.911,5.643,2.639,0.3288
VGG19-BN,$1/255$ baseline,42.0,--,3.245,1.061,0.475,0.4608
VGG19-BN,$1/255$ random avoid,40.5,"$-1.5$ [$-3.5$,0.0]",3.747,1.026,0.452,0.4636
VGG19-BN,$1/255$ transport avoid,\textbf{3.5},"$-38.5$ [$-45.5$,$-31.5$]",8.381,0.121,0.009,0.0003
VGG19-BN,$1/255$ JVP penalty ($\lambda=10$),40.0,"$-2.0$ [$-4.5$,0.0]",3.536,0.976,0.438,0.4387
ResNet50,$8/255$ baseline,100.0,--,$-20.146$,19.464,5.583,0.1437
ResNet50,$8/255$ random avoid,100.0,0.0,$-20.104$,19.379,5.407,0.1396
ResNet50,$8/255$ transport avoid,100.0,0.0,$-19.987$,19.218,2.249,$<10^{-5}$
ResNet50,$8/255$ JVP penalty ($\lambda=10$),100.0,0.0,$-19.926$,19.184,2.435,0.0617
