Control objective,Layer group,AUROC,Min,Max,Overlap
same-class feature match,hidden,0.730,0.469,0.965,0.446
same-class feature match,penultimate,0.987,0.979,0.994,0.543
same-class feature match,logits,0.490,0.472,0.520,1.000
different-image feature match,hidden,0.873,0.716,0.994,0.450
different-image feature match,penultimate,0.979,0.975,0.983,0.610
different-image feature match,logits,0.476,0.449,0.521,1.000
activation max,hidden,0.980,0.967,0.998,0.400
activation max,penultimate,0.963,0.948,0.989,0.600
activation max,logits,0.506,0.423,0.556,1.000
feature-norm max,hidden,0.967,0.926,0.997,0.345
feature-norm max,penultimate,0.961,0.921,0.978,0.566
feature-norm max,logits,0.485,0.468,0.521,1.000
random feature direction,hidden,0.987,0.973,0.999,0.404
random feature direction,penultimate,0.965,0.954,0.983,0.585
random feature direction,logits,0.492,0.442,0.518,1.000
