Model,Baseline,Road-only,Baseline-only,Both,Neither
ResNet50,PGD-20,3,2,188,7
ResNet50,FAB-100,10,2,181,7
ResNet50,APGD-CE-20,2,2,189,7
ResNet50,APGD-DLR-20,3,2,188,7
ResNet50,Road-routing APGD-eta,7,1,184,8
VGG19-BN,PGD-20,4,2,171,23
VGG19-BN,FAB-100,11,3,164,22
VGG19-BN,APGD-CE-20,2,3,173,22
VGG19-BN,APGD-DLR-20,34,1,141,24
VGG19-BN,Road-routing APGD-eta,8,1,167,24
DenseNet,PGD-20,5,11,179,5
DenseNet,FAB-100,17,11,167,5
DenseNet,APGD-CE-20,0,11,184,5
DenseNet,APGD-DLR-20,3,11,181,5
DenseNet,Road-routing APGD-eta,13,4,171,12
Inception-v3,PGD-20,9,2,173,16
Inception-v3,FAB-100,16,3,166,15
Inception-v3,APGD-CE-20,10,2,172,16
Inception-v3,APGD-DLR-20,8,6,174,12
Inception-v3,Road-routing APGD-eta,9,2,173,16
