component,producer,frozen_input,raw_archive_role
exact_protocol,experiments/hidden_jacobian_routing/create_exact_cifar_splits.py,artifacts/splits/,image and protocol registry
checkpoint_metrics,experiments/hidden_jacobian_routing/evaluate_checkpoint_metrics.py,artifacts/analysis_summaries/checkpoint_metrics.csv,full-test predictions
nested_layers,experiments/hidden_jacobian_routing/run_exact_nested_layer_selection.py,artifacts/table_inputs/table_f6_layerwise_adversarial_pgd_full.csv,local-step vectors and per-image scores
difficulty_control,experiments/hidden_jacobian_routing/run_success_difficulty_control.py,artifacts/analysis_summaries/difficulty_control_split_summaries.csv,per-image clean difficulty and OOF predictions
ko_cleanstart,experiments/hidden_jacobian_routing/run_exact_ko_cleanstart_comparator.py,artifacts/analysis_summaries/ko_exact_run_metrics.csv,candidate rows and fitted bases
linf_native,experiments/hidden_jacobian_routing/run_linf_induced_jacobian_comparator.py,artifacts/analysis_summaries/linf_comparator_paired_bootstrap.csv,per-image norm-native candidate rows
mechanism_breaking,experiments/hidden_jacobian_routing/run_mechanism_breaking_attacks.py,artifacts/analysis_summaries/mechanism_breaking/,per-image restart outcomes and pullback bases
finite_budget,experiments/hidden_jacobian_routing/run_finite_budget_jvp_residual.py,artifacts/table_inputs/table_appendix_finite_budget_jvp_residual_progress.csv,per-step JVP and residual rows
coordinate_rescaling,experiments/hidden_jacobian_routing/run_function_preserving_coordinate_rescaling.py,artifacts/table_inputs/table_appendix_function_preserving_coordinate_rescaling.csv,transformed vectors and logit checks
imagenet_pilot,experiments/hidden_jacobian_routing/run_imagenet_supporting_pilot.py,artifacts/table_inputs/table_appendix_imagenet_modern_benchmark_square.csv,trajectory shards
robustbench_pilot,experiments/hidden_jacobian_routing/run_robustbench_local_mobility_pilot.py,artifacts/table_inputs/table_appendix_robustbench_hidden_jacobian_pilot.csv,per-image APGD and candidate rows
matched_interventions,experiments/hidden_jacobian_routing/run_matched_jacobian_intervention_controls.py,artifacts/table_inputs/table_matched_intervention_controls.csv,per-image intervention outcomes
